Res Num,Last Name,Number in Party,Num Kids,Room Pref,AP,TiW,Visit Num,Last Visit,Average Season,Num Complaint,Prev Satisfaction (out of 10),Avg Park Entry (nearest hour),Avg Park Exit (nearest hour),Age Range,Average Room Service Spend,Average In Hotel Spend,Favorite Park,Reservation Made,Income,Race,Home State,Celebrating,Allergies,View Preference,Weight,Sleeping,Web/Phone,Travel Agent,Group Res? (linked res in parens),DDP,Travel Frequency,Favorite Character,Food service preference,Flight Res,Length of Stay,Avg Park Day (nearest hour duration),MMH freq,EMH freq,Elevator Pref,Crib/Rail,Refrigerator,Pool Usage,Frequent Attraction,OCD,Special Event,Special Needs,Grocery Delivery,Typical Stay
171,Candy Rhames,4,1,2QNS,y,n,3,1975,Peak,11,7,9,18,10 to 43,3,19,MK,Mar,40k,White,IN,n,n,No Pref,156,EL,W,n,n,y,Occasionally,Pete,QS,AirTran,8,7,Never,Occasionally,Near,None,y,Rarely,Walt Disney's Carousel of Progress,n,n,n,y,2QNSWV
172,Lewis Chancellor,3,1,SUNS,n,n,12,1999,Peak,13,9,11,16,14 to 34,19,26,MK,Mar,100k,Asian,TX,y (birthday),y (environmental),Courtyard,236,EE,P,y,n,y,Occasionally,Hook,TS,Southwest,6,4,Rarely,Never,None,None,n,Frequently,Primeval Whirl,n,n,n,y,KNSWV
173,Cecile Bitter,5,1,SUNS,y,y,8,1990,Value,13,8,9,17,18 to 32,23,28,EP,Sep,65k,Other,PA,n,y (nuts),Courtyard,227,EL,P,y,n,y,Rarely,Donald,QS,Avianca,4,4,Never,Occasionally,Near,None,y,Occasionally,Voyage of the Little Mermaid,n,y,n,y,2QNSWV
174,Vernon Caves,2,1,KNS,n,n,9,2002,Regular,10,6,12,18,18 to 69,15,23,MK,Jul,40k,African American,GA,n,n,Woods,175,LL,P,n,,y,Never,Hook,Snack,NA,6,9,Rarely,Rarely,None,None,n,Occasionally,Living with the Land,n,n,n,n,2QNSSV
175,Dustin Rocchio,2,1,KNS,n,n,7,2004,Regular,5,10,9,17,14 to 60,3,11,EP,Feb,The 1 percent,NR,IN,n,n,Courtyard,148,EE,W,y,n,y,Never,Launchpad,TS,US Air,4,5,Frequently,Rarely,Far,Rail,y,Frequently,Star Tours: The Adventure Continues,n,n,n,n,2QNSSV
176,Corey Ellingson,3,2,KNS,n,n,9,1984,Value,6,7,10,19,8 to 38,19,11,MK,Apr,NR,Asian,OH,n,n,Woods,146,EL,W,y,n,y,Rarely,Launchpad,QS,United,4,10,Occasionally,Never,Far,None,y,Frequently,Muppet*Vision 3D,y,n,n,n,2QNSCV
177,Elva Wadlington,4,1,KNS,n,n,2,1999,Regular,6,8,10,16,17 to 59,26,3,MK,May,85k,African American,MS,n,n,No Pref,149,EL,W,n,n,y,Frequently,Ursula,TS,NA,7,5,Occasionally,Rarely,Near,None,y,Occasionally,Spaceship Earth,n,n,n,n,SUNSWV
178,Kelsey Steinhauer,5,2,2QNS,n,n,11,1998,Peak,2,9,9,19,11 to 34,3,28,EP,Oct,40k,Hispanic,SC,n,n,No Pref,148,LL,W,n,n,y,Frequently,Jafar,TS,NA,3,8,Never,Frequently,None,None,y,Frequently,Mad Tea Party,y,n,n,n,2QNSWV
179,Corey Sigala,5,2,KNS,n,n,7,1996,Peak,3,6,12,17,11 to 51,12,18,EP,Aug,40k,African American,Europe,n,n,No Pref,230,EE,P,n,n,n,Frequently,Jafar,TS,United,5,12,Occasionally,Occasionally,Far,Rail,y,Frequently,Spaceship Earth,n,n,y (hearing impaired),n,SUNSWV
180,Stefanie Bartz,6,3,KNS,y,y,7,2007,Regular,12,6,8,17,4 to 60,8,1,MK,Oct,The 1 percent,Other,PA,n,n,Courtyard,187,EL,W,n,n,y,Rarely,Pete,Snack,United,7,12,Occasionally,Occasionally,Near,Crib,y,Frequently,Kilimanjaro Safaris,n,y,n,y,2QNSWV
181,Vernon Rabago,6,4,KNS,n,n,12,1978,Regular,10,10,9,17,4 to 24,1,10,HS,Feb,The 1 percent,African American,IN,y (birthday),n,Woods,193,LL,W,y,n,y,Occasionally,Hook,TS,NA,4,12,Rarely,Rarely,None,None,y,Rarely,Star Tours: The Adventure Continues,n,n,n,n,SUNSWV
182,Esperanza Botsford,2,1,KNS,y,n,11,2000,Regular,13,10,10,16,15 to 66,5,26,AK,Oct,40k,White,SC,y (birthday),n,Standard,175,EL,W,y,n,y,Occasionally,Goofy,Snack,Southwest,6,6,Rarely,Occasionally,None,None,n,Occasionally,Flights of Wonder,n,n,n,n,2QNSSV
183,Maurice Dashiell,2,0,2QS,n,n,13,2003,Value,10,10,10,17,21 to 22,14,15,HS,Apr,NR,Hispanic,OH,n,y (environmental),Courtyard,143,EL,P,y,n,y,Rarely,Iago,TS,NA,4,4,Never,Rarely,Far,None,n,Frequently,Space Mountain,n,y,y (hearing impaired),n,2QSSV
184,Corinne Marte,6,3,SUNS,n,n,9,2004,Regular,14,6,8,18,16 to 20,20,20,AK,Oct,100k,NR,AL,n,n,Standard,189,LL,P,n,n,y,Occasionally,Goofy,QS,US Air,7,7,Occasionally,Frequently,None,None,y,Frequently,Star Tours: The Adventure Continues,n,n,n,n,KNSWV
185,Susana Gulino,4,2,SUNS,y,n,0,NA,Regular,0,-,-,-,4 to 63,28,5,EP,Apr,40k,Asian,SC,n,n,Courtyard,165,EL,P,n,n,y,Never,Donald,TS,JetBlue,6,8,Rarely,Never,Far,Crib,y,Occasionally,Flights of Wonder,n,n,n,n,NA
186,Sam Stalling,4,0,SUNS,y,y,7,2003,Value,5,9,11,19,20 to 37,29,19,HS,Feb,85k,White,TX,n,y (environmental),Courtyard,208,EE,P,n,n,y,Rarely,Mickey,QS,JetBlue,7,5,Rarely,Occasionally,None,None,y,Occasionally,Muppet*Vision 3D,n,n,n,n,KSWV
187,Maude Presson,3,2,KNS,y,y,2,1999,Regular,9,9,11,17,7 to 39,23,6,EP,Feb,NR,NR,OH,n,n,Woods,210,EE,W,n,y (4),y,Frequently,Donald,QS,US Air,6,11,Never,Never,Far,None,y,Frequently,Kali River Rapids,n,n,n,n,2QNSWV
188,Lewis Peavler,6,2,KS,n,n,9,1973,Regular,10,10,10,17,3 to 32,11,3,MK,Aug,40k,NR,NH,n,n,Courtyard,165,EL,P,y,n,y,Rarely,Goofy,TS,AirTran,4,11,Occasionally,Occasionally,None,Both,y,Rarely,Muppet*Vision 3D,n,n,n,n,KNSSV
189,Derrick Perkin,1,0,KNS,n,n,12,1995,Peak,1,8,8,17,35,26,25,MK,May,NR,NR,AL,y (birthday),n,Woods,155,LL,P,n,n,y,Occasionally,Pete,TS,US Air,4,7,Occasionally,Rarely,None,None,y,Frequently,Kilimanjaro Safaris,n,y,y (sight impaired),y,2QSCV
190,Gordon Poulton,1,0,2QNS,n,n,13,1973,Regular,5,9,11,17,48,16,4,MK,Jan,40k,Hispanic,NY,n,y (nuts),Standard,195,EL,W,n,n,n,Frequently,Launchpad,QS,US Air,8,5,Never,Rarely,None,None,n,Rarely,Living with the Land,n,n,n,n,2QNSCV
191,Maurice Poss,5,2,KNS,y,y,0,NA,Regular,0,-,8,18,9 to 26,5,5,MK,Feb,85k,Hispanic,NH,n,y (nuts),No Pref,238,EL,W,y,n,y,Never,Goofy,QS,Avianca,3,11,Occasionally,Occasionally,None,None,n,Frequently,It's Tough to be a Bug!,n,n,n,n,NA
192,Kennelly,6,4,KNS,y,y,1,1992,Regular,8,7,8,19,15 to 49,0,1,MK,Jun,65k,Hispanic,NY,n,y (environmental),No Pref,195,EE,W,y,n,y,Rarely,Mickey,TS,Southwest,7,4,Never,Never,None,None,y,Rarely,Spaceship Earth,n,n,n,n,SUNSWV
193,Derrick Haltom,3,2,KNS,y,n,2,2007,Value,2,10,10,18,8 to 23,25,14,MK,Jul,The 1 percent,Other,TN,n,n,Standard,204,EL,P,n,n,y,Rarely,Scar,Snack,American,6,11,Occasionally,Rarely,None,None,y,Frequently,Star Tours: The Adventure Continues,n,n,n,n,KNSCV
194,Lester Tillotson,3,1,2QNS,y,y,5,1974,Regular,9,9,12,18,17 to 60,5,29,EP,May,NR,Other,NY,n,n,Courtyard,194,LL,W,n,n,y,Never,Mickey,QS,JetBlue,8,12,Rarely,Rarely,None,None,n,Rarely,Toy Story Mania,y,y,n,n,2QSWV
195,Dean Asmussen,5,3,SUNS,n,n,9,1983,Peak,13,7,8,19,16 to 67,20,16,MK,Apr,40k,African American,NY,n,y (environmental),Standard,160,EE,W,n,n,y,Never,Donald,Snack,AirTran,3,10,Never,Never,None,None,y,Frequently,Mad Tea Party,y,n,n,y,KNSCV
196,Tamika Buntin,4,3,SUNS,y,n,10,2005,Value,9,10,11,18,11 to 48,21,20,EP,Feb,85k,White,TX,n,n,Courtyard,189,EL,W,n,n,y,Rarely,Donald,TS,Delta,4,8,Never,Frequently,None,None,n,Occasionally,Big Thunder Mountain,n,n,n,n,2QSSV
197,Caitlin Mccleskey,2,1,KNS,y,y,10,1971,Value,9,8,10,16,9 to 50,10,27,AK,Jul,The 1 percent,Hispanic,WV,n,n,No Pref,173,EL,W,n,n,n,Never,Scar,QS,Southwest,3,8,Never,Occasionally,None,None,y,Rarely,Splash Mountain,n,n,n,n,2QNSWV
198,Lester Dixion,3,2,KNS,y,n,13,1993,Value,11,10,9,16,14 to 63,9,27,EP,Aug,The 1 percent,Asian,MA,n,n,Standard,188,LL,P,n,n,y,Occasionally,Ursula,TS,Avianca,5,9,Never,Frequently,None,None,y,Occasionally,Maelstrom,y,n,n,n,KNSWV
199,Borchers,4,1,2QNS,y,y,7,1995,Value,9,9,9,17,10 to 67,1,18,MK,Jun,85k,Hispanic,VA,n,n,No Pref,188,LL,W,n,n,y,Rarely,Goofy,Snack,NA,7,9,Never,Frequently,Far,None,y,Occasionally,Walt Disney's Enchanted Tiki Room,n,n,n,n,2QSCV
200,Iva Moffit,6,3,SUNS,y,y,11,1973,Regular,0,8,10,19,5 to 50,29,14,MK,Jan,NR,NR,AL,n,n,Standard,188,EE,W,y,n,y,Frequently,Pete,QS,JetBlue,3,10,Rarely,Never,Near,None,y,Frequently,Kilimanjaro Safaris,n,n,n,n,KNSWV
